Month,Posting Date,No Of Trans,Settlement Currency,Settlement Amount,Terminal Capability,Clearing Service,Payment Product,Fee Tier,Region,Fee %,Base,Fee Maximum,Comm. Amt,FPI,Acquirer BIN/ICA,Geographical Location,Fee No.,CardType,Region,Assessments,Service Charge,Total Fees
2/28/15,16/02/2015,1,CAD,1325,"""eCommerce""",Clr Mastercard Int,Cl - MC New World,General,Foreign Western,1.7,EUR 0.0000,0,22.53,  BW9,4441,Sub-Regional - Foreign Western,3198826699,Credit,Rest,8.69,0.68,31.9
2/28/15,17/02/2015,1,CAD,-500,"""eCommerce""",Clr VISA Int.,Cl - Visa PrePaid,Auth<4/CVV2/CNP,Foreign - EMEA,0.16,EUR 0.0150,0,-0.82,  01B,424469,Sub-Regional - Foreign - EEA,500060183,Debit,Europe,-0.1,0.68,-0.24
2/28/15,17/02/2015,1,CAD,953.25,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - NEEA-EEA,0.29,EUR 0.0200,0,2.78,  59W,424469,Sub-Regional - Foreign - NEEA-EEA,500066001,Credit,Europe,0.43,0.68,3.89
2/28/15,17/02/2015,4,CAD,3204.43,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,9.35,  BU4,424469,Sub-Regional - Foreign - EEA,500047639,Credit,Europe,1.39,2.7,13.44
2/28/15,18/02/2015,1,CAD,-250,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.16,EUR 0.0150,0,-0.42,  NM8,424469,Sub-Regional - Foreign - EEA,500060079,Debit,Europe,-0.04,0.68,0.22
2/28/15,19/02/2015,1,CAD,250,"""eCommerce""",Clr VISA Int.,Cl - Visa Platinum,Auth<4/CVV2/CNP,Foreign - EMEA,0.16,EUR 0.0150,0,0.42,  NM8,424469,Sub-Regional - Foreign - EEA,500060060,Debit,Europe,0.09,0.68,1.18
2/28/15,20/02/2015,2,CAD,4416.67,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.16,EUR 0.0150,0,7.09,  NM8,424469,Sub-Regional - Foreign - EEA,500060079,Debit,Europe,1.13,1.35,9.57
2/28/15,22/02/2015,7,CAD,4211.25,"""eCommerce""",Clr VISA Int.,Clearing - VISA.,Auth<4/CVV2/CNP,Foreign - EMEA,0.29,EUR 0.0200,0,12.33,  BU4,424469,Sub-Regional - Foreign - EEA,500047639,Credit,Europe,1.82,4.73,18.87
2/28/15,22/02/2015,11,CAD,5361.4,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,10.1,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,6.77,7.43,24.3
2/28/15,22/02/2015,1,CAD,-150,"""eCommerce""",Clr Mastercard Int,Cl - MC New World,General,Foreign Western,1.7,EUR 0.0000,0,-2.56,  BW9,4441,Sub-Regional - Foreign Western,3198826699,Credit,Rest,-0.82,0.68,-2.71
2/28/15,23/02/2015,2,CAD,1771.43,"""eCommerce""",Clr Mastercard Int,Cl - EC Corp,General,Foreign - EEA,1.9,EUR 0.0000,0,33.64,  BJ8,4441,Sub-Regional - Foreign - EEA,3087861699,Credit,Europe,2.27,1.35,37.26
2/28/15,23/02/2015,9,CAD,6727.5,"""eCommerce""",Clr Mastercard Int,Clearing - MAST,General,Foreign - EEA,0.18,EUR 0.0250,0,12.44,  BI6,4441,Sub-Regional - Foreign - EEA,500025660,Credit,Europe,8.49,6.08,27
2/28/15,24/02/2015,1,CAD,1500,"""eCommerce""",Clr Mastercard Int,Cl - MC Corp/Bus,General,Foreign - EEA,1.65,EUR 0.0000,0,24.75,  BM4,4441,Sub-Regional - Foreign - EEA,3110863199,Credit,Europe,1.93,0.68,27.35
2/28/15,24/02/2015,1,CAD,720,"""eCommerce""",Clr VISA Int.,Clearing - Vs Elect.,Auth<4/CVV2/CNP,Foreign - EMEA,0.16,EUR 0.0150,0,1.16,  NM8,424469,Sub-Regional - Foreign - EEA,500060069,Debit,Europe,0.21,0.68,2.04
2/28/15,26/02/2015,1,CAD,-500,"""eCommerce""",Clr Mastercard Int,Cl - EC Corp,General,Foreign - EEA,1.9,EUR 0.0000,0,-9.51,  BJ8,4441,Sub-Regional - Foreign - EEA,3087861699,Credit,Europe,-0.58,0.68,-9.42
